author,count(followers)
ROMABULAVIN,11
SOPHIEKOLE,176
REDLANEWS,1540
RUSNEVROTIK,2405
SAMIRGOODEN,5791
SOUND4BOYZ,84
RADNIKOVAMSK,540
RAVENICHOLSON,4646
REZNIK_ELIZA,13
PUNNAYOANDRA,9
SALIMDJAMIL4211,20
RAPIRAGO,17
ROSIST_N1,148
SOKOLOSHA,512
RF_CHOICE,1412
RITA_ONE_LOVE,1304
SHERRRRLEY,929
SHAPKA_MONO,1523
SINIGOPAJUBY,118
POL_WARRIOR,87
ROBERTHORN1990,18
ROMANFURUCHEV,556
SAVYHURT,41
SOWATSOWAT,479
STARKKONSTI,119
RACHDURANT,160
RALFREIMANN8891,338
RAZVEDCHICA_,1231
ROGOVVALERON,552
RUN_N_WIN,42
SPUNTMELODY,63
PUZJA,11
SHANIA_TONEY,23
RUSKING1703,238
SEREGA0VLADIMIR,544
SLAVMIROSLAV,59
PROKOFIEVKONST,4
RYMANMURPHY,401
POLLLYPOLLLY,440
RONICK_KK,35
SPEAKOROFF405,175
ROBERTHUGHESS,100
QUISHABR,61
RICHMONDVOICE,5223
ROSSRICHRDS,13
SLAVKAAVAS,373
RANDOLPHBURRR,3276
SASHAGREECE,60
PRETTYSASHAH,134
RADSABRAD,272
STASIA_FROLOVA,517
SPECIALAFFAIR,32588
SSSOFIAANDRE,509
QUEENNARIELLE,1400
ROSIEONFLEEK,1826
ROYPRESTON1ST,150
SARAHTHHHH,42
SHILOVASANCTIMI,350
RITAPHILIPP,512
RIVKALANGE,5
SLAVASEROFF,34
RIGHTNPR,837
SOBAKIKAZINAKI,1021
QUEENOFTHEWO,3820
RANDALL_COOKE,168
ROMASHKAMSK,37
RUCONSTITUTION,21
SABIRSALIMSA,850
SCARLETTHOWAR15,129
RAPEDBYCOSBY,136
ROOMOFRUMOR,28360
RYANNCOOPERWOOD,2
SRAHSE,1101
SOSNOVSKYANNA,8
SOULSCOLLECTA,463
SSUS_PANTHER,445
REALROBERT1987,1521
ROOFMIC,7
SHURIK_NESTEROV,98
SIGERMON,770
SOSEANBEARD,5
RDUBROVSKY,509
ROSIST2014,657
SEM_VADIKK,511
RINATSABIL,35
SADIEEATONN,515
RIOGITHIEF,623
SERGGBELOV,525
ROBERT_SHANDER,84
REBEESLYSS,7
RIMA_KOROTKOVA,704
SLEVIN_324,545
SPBSASHAWOLF,536
STANLEY_SPIVEY,8
SOVASOF,657
RODYA_BEZ,50
SHERMAN_CN,47
SOUTHLONESTAR,3673
ROSCOE_RIDDLE,478
SEMENAKRILOV,9
RLOVENOSAUSE,503
PRUITT_LI,150
ROB_COWMIL,67
SANYABESSONOV,467
SOLIFAT,17
POPOVALERVERIMU,785
SERGO_YAROSH,531
POLITVLAST,498
RACHELRAY1203,60
SCTTCRSN,561
RAINBOWKRN,19
RUSEYE,23
SLAVAZAPOLSKY,15
ROBIN_MC_CALL,120
RUOPENTWIT,1027
POLITKACH,881
POWER_4LIFE,93
RIABOVGUIGUEMUL,536
ROCKITJAN,60
R_U_LIFE,144
SIENNASMM,152
SEMCHEV_RU,377
SABSABRIBA,78
SHINEPHILLIPS,160
SAIFSABIRR,151
SCARLEESTRUT,7
SHIKARNOEL,2598
SEVAGRIX,42
LACHRISTIE,1226
MISHAGERBENEV,571
MSHEATHOWENS,1122
KZUNIGA26,1
MBROWNHERE,119
LIRASTERTTRUMP,1372
MMORENOK,89
KATYAKUNST,468
LYNSRODRIGUEZ,1059
KRISTYANANN,1139
LESLIE_FAULK,9
LOGANLOGANSS,21
LUGANSKNOVOSTI,3368
MANZAL_,1646
MRMORAAN,5558
KHALEDBAKRI7,1
MARGOSAVAZH,5982
LENALOVESSPB,563
MARIALUIGI5,370
KOMAROVA6969,34
KRAVCEV_DEN,62
MARTINES_TWEETS,117
MUSAABJUVYLYN,8
MYGAPRINCE,675
LENALYO,99
MARIJALABUSHEVA,45
LAWRENCEDDDD,32
MOROZOVALIGLIBD,234
K_GAYDUKOVA,537
MEREDITHWOHL,29
MEMIZIS,2
MONIQUEX787,3
KRASILNIKOVBOR,533
KSTVENETSKIY,10
MUHSADIG,193
NASTANUFRIEVA,5
LILLYBOGGS,87
LINDDDAAAD,167
LOS_LOSOS_,90
LERONVOINIK,514
MARIAOFSTEEL,8
MMMAAAASHU,99
LILILAFIN,510
LAZER_NIKIT,156
MAKS_OSIPOV_,44
LOREENPAOLERA,107
MED_HARLEY,10741
MELISSAYESIAM,26
MERMACIE,83
KISKATALQUANTIC,242
LDM1900,18
MARIAKOKOSHKINA,11
KILLMEPLSAGAIN,508
KOLRADSKIY_ZHUK,105
LIZ_ZAL_,35
KATHYDITMAR,39
KAYROVAKAYROVA,9
KIRRANEW,483
KOMAROVAGUIPOLN,347
LLAGANPO,36
MAH_ELNAF,1
NENADOBANIT,499
KRYMEACHANIN,15
MIKAPAVILAINEN,3
KESHABORISPOL,44
LORAGREEEN,6363
MALLBOWEN,134
MATISQUAREPANTS,46
MR_CLAMPIN,3836
KRISLISOVSKAYA,14
LL0YDTHEKING,9
MARYMOZHAISKAYA,10
KIRAVERKIN,65
LEONTEVSEREGA,26
LEXXX_TH,196
LOLA_AYERS_,187
LUKAS_ROSLER,2627
KOTOVAMARYS,1193
MARRISSATRR,4902
KURZINVADIMCHIC,43
MAGICATSALY,277
MAVLANOV_KOSTYA,40
MORRGASSSTR,4
MAKS_DUNAY,37
MARIALOPTRUMP,1398
LARAPALMER23,43
LEONIDBROVKIN,501
MASCHBERG,88
MILENARUINEVA,502
LARISAPYLEVA,516
MARISHA_ZU,19
MASHAASTAHOVA,96
MIAONSEA,18
NATATURN,181
KATYHANSEN19,9
KENNYGRATHAM,40
LARVIN_AIYANNA,147
LUCASSTARBRAND,125
LENA_BERRYMAN,549
LEVA_DANILOV,3
MAHMUDRAMIMAH1,20
NAGIB_SALEH,15
KOSTYA_EVS,47
NANA_LAMA,1082
MARYCARRY92,7
MAXFRITZZ,542
NEHEMIAHX,984
LESAVELEVA,1055
MARMARSCH1,241
NASTY_GRACH,543
LENA1STURM,96
LGBTUNI,415
MARCH_FOR_TRUMP,331
MARIJAKRYLOVA,16
KATTYYGEORGE,89
KOVALEV_ROMK,37
MEMYSELFHAILEY,105
LIZAHASJUST,72
KATTY__SILVA,247
MOM_0F_TWINS,141
NATHAREID,26
KRILOV7959,427
MUSLIMS_IN_USA,781
KIMBERLEIGHLAMB,123
MARATGAFVV,14
MIKKYRURK,1662
KATYA_PAVL0VA,550
LUCKY_LEM0N,43
MARISHASERGEEVA,508
MARKMCGREGORY,601
KIRLLVIL,15
LYNDAWKING,2985
MALLORYJARED,2359
MAMA_RUSSLAND,528
MASHAEMYASHEVA,520
MIC_REEZE,61
MISHA_BYIANOV,6
MONEYFORM,3397
MWOODSLW,134
LAPINOLEGG,1035
LVIVYES,165
MOTREHA,10
KATHIEMRR,4763
LARA_KICH,63
LMARINAYS,1699
MAKS___TRAVA,94
MATEVIDENCE,1994
MIDEASTVIEW,2308
MOTHERLANDR,86
KLAUSFINKER,195
LAGONEHOE,3637
MARIRLTR,6
MELLYBARTON,115
MANUELKROSSS,293
LENA_STUFF,497
MALTE_OSWALT,225
MARGARETHKURZ,1293
MARYGOLYBERVA,8
MUPU26,3
KRUSTYPS,1516
MAHAFFEYSUSANN,41
MASHAKRASNO,452
MASHKI_MASHKI,488
KATYA_BORN,405
KATYA_NOVITZ,498
KL_SPEN,43
KRISTHUG5,31
LITTLEBETTYY,7
MAXSUNDUKOV,30
MIGNATIEV1,263
KAYY_CURTIS,24
KIRILLDECHTEREV,38
LAURA_INSON,13
LNEVER_MINDL,145
MARI_MARIRUS,508
LAURENBURTONS,6
LELANDGRAVES_,925
LILYLILYHASSE,107
MALNOCHES,543
MISHA_PROKF,39
LEBLANCPETER_,22
MYRRV13,521
MAISURGANIM,1
MATEVIDENCERU,294
KERIONALISSON,3
KENDRAGRRR,149
LUSOVAT,27
LUZMARTRUMPPT,1362
MUHAMMADMUSA23,1312
LOBSTRIK,17
LUGHHALLEY,1917
MIHADUB,17
MUHAMMADHUSS69,9
NEVICHENKO,1
LADAVISH,102
MALIKALMURAD12,10
MEOFTHEWORLD,80
MAKSBLAGININ,615
NEVNOV_RU,10385
LILY_LEW1,8
MISSLILILOVER,435
LENKASPB,21
MARLENIZZTRT,3
MATTHEW1STACEY,19
LAMARMUTANT,1
LUSCBELYST,3
LIONOVAA,7
MACNEILLTONI,145
MAORBRIGHTIE,158
MARTINAFFF,60
MILWAUKEEVOICE,9358
NDR_BOLOZYB,49
KOLYA177,21
LISA_VOZ,542
MABLE_LANDRY,67
MAKEHASS,288
NATPOLNEWS,81
KOLNBOTE,3586
KRIVELEV_LAW,124
NATHALYAPODACA,46
KOLYA_ILIN102,91
MELANYMELANIN,4516
MILA_NORD,528
KIRA_MIR10,87
LENASHUMEICO,151
LENIAIVANOV,352
MARYKISILEVA,513
MAXGUBANOV,17
MODA_BARINA,3643
MARRR_RAVEN,445
MARGOVELLER,12
MEGGIEMCKENZIE,104
NATALIPETRICK,514
KOTZZZLOVRED,1
LUBOMIROB,30
MARIANEUBERG1,629
MMMDARYA,1321
KOLYABURKOV,444
LEIMILLERS,6
LOVELYBEE_ME,84
MARY_GIBER,775
MAYLUUSSTR,5302
MEMARINAGO,971
MICPARRISH,689
KIEVNOVINI,199
KIRILLANDY,7
LIANGBERTIE,116
MILENAKROSS,6
MOGILEVSEICHAS,155
KELVINKELKELVIN,2
KENZDONOVAN,4321
MAKAYLABUTLER13,3
MAKSIMKOVALEV15,29
LARINVIKA,507
MAXYASTA,38
LERACRUZE,504
MATEVIDENCEARAB,58
MDEGOROV,46
MYROMYRA,103
LOGAN_WHATSUP,889
LAURABAELEY,3540
MUHSANSINS,1043
LGBTUNITEDCOM,689
KIRKSEYSUSANNA,961
KUZNETSOV_BORIS,67
LEHASERG,17
MAXDEMENTIEV,4969
MAXIMGARON1,890
KEVINNOTBROOKS,76
KLARA_SAUBER,847
LEENILSLEE,645
LINDASCHWARZ121,215
MASHULYA_1994,478
NASIMMALIK993,135
LEIPZIG_BOTE,224
LILYYTYY,6
MARY_MARY_ARTEM,587
KENNETGREG,10
NEVERLIET0ME,193
KIRMUX,53
KITSONBRENDA,9
LAREELIZT,3
MANDARINKAEFIM,410
MTTHSBERGER,1060
MIHA_PLET,22
MILAGENINA,515
MILMILMILA_,484
KRISTEEN_BROWN,20
MARGIE__G,55
MISSOURINEWSUS,1379
LILA_GORILA,1616
MARLA_XTIAN,9
MRT_EVRT,379
KURDRYSH,677
LATTECHEEK,516
LUISSTOCKBERG,290
MICHATLAS,521
MINNEAPOLISON,412
KPESMINA,554
KRISTINA_ALES,366
NAZZZGULYAKOV,15
KAYYLYSST,11
KELVSOK,101
LADADELREEY,518
LARIONOVABOBSPI,249
MAHMOUDASSIBAYI,111
MILENA_NIHAO,1048
KIR_GROMOV,273
LARAHARRRRISON,194
LAUREL_LORENS,9
LUCEELYZT56,2
MARTYNOV_NIK,7
NATALYVASUHNOVA,502
METSTHEBEST,32
NATTATRT,6
N1TEGRL,541
MUENCHENBOTE,5218
KEVINKEVSCOTT,88
LOSSDAYTR,5
MIHAILBUGROV,517
MX_JT,503
KYLIEMUSICIAN,60
LAWWAANCTR,6973
LENOCHKAMARKOVA,563
LSONSANNER,692
MANDY9STEVENS,774
MELVINSROBERTS,4642
MILOSHAMILO,241
MRSERVELAT,627
MADIADATRT,6
MITCH_LLLYNCH,69
MILAGROSVEVE,39
NADENKAAVDEEVA,9
MILIMILLENNIUM,2209
MUHAMMADSADIQI4,10
NEVNOVRU,81
KIRBUCHA,1044
KOZLENKO_SLAVK,85
MARKINGRIG,41
MEGGIEONEIL,1746
MARKINCONSSUPTA,218
LALAMICKYY,556
MARTINIVINE,1007
LANA_ARINA,5
MADLENCRAZY,1048
MYSOULACHES,465
NATALI_BEAST,127
KENN_VILLA,73
LORENAISHOT,35
MARIJAKASHIRINA,58
MUHRASHMUH,23
NATASHAPAVLOVAA,512
KOSTYAERMILIN,383
KRASNOVANDCO,469
MAKARGUITAR,735
MARKOSVINES,13
MIHHBLACK,64
LISICHKINJENYA,10
LIZZBETTRR,6
MARIO_CO_WAY,29
MARKUSEICHEL,220
MYSUNNYSUN,461
MRJACKSJACKSON,632
MURAVICKIYY,47
KYLEBURRIT0,58
MUZAAMURA,4
LAZYKSTAFFORD,2872
LIANAWISTER,506
MARIATRUMPT,295
MWIQCEN,1521
KIELBOTE,175
KUGIN_1991,20
LEROYLOVESUSA,4784
NEMOVVOVA,41
MIHGORBUNOV,22
KUJMAN91,70
LISAGRAPE,685
NEVNOVPR,1974
MASHADUROVA,501
MILORUDENKO,7
MISSNADILLE,545
MAGDEBURGBOTE,110
LESSMCPH,46
LUISASAGROSS,27
KINT_D,20
KIRA_GASANOVA,62
MARATKALYASHIN,32
MATEVIDENCEDEU,321
MOSOBLSTALKER,34
KRISTINADRUCKER,47
MAKAROVSEN,4
MALKA_ESSS,33
MISHKA_BAGIROV,474
LAKEISHAHICKS5,360
LARA88LARA88,212
LEROCHKA_ALA,93
LIN1DIRECTION,4
MONMONICA23,119
METROJOKE,1
MIRPOLITICA,3457
NEVER2MUCHBASS,35
KOLOSOVACONHULE,972
KSYIVAKINO,483
MARGOBEROEVA,1174
MISTERBRIDGES_,2
KATKA_HERO,331
LARSWOLFLARS,262
LIL_GAME_VIP,1215
LUCEELYSTOP,121
MARLEY_SHN,124
MSM0RE,1564
KLARAUKRALAKOLU,492
LANSKOYTIMOFEY,34
LIDAZIN,527
NATH_ALMA_Z,44
LEONID_ZAK,5
MEDVEDIHA777,597
KELVIN_CHAMBERS,2553
MIL0BLAKE,2524
MOI_BREST,1222
NEME_SI,507
KIRPICHIKOVNA,502
LANCE_FREED,79
LEACH_4U,25
MISHA_LOPIK,66
MOJOYOMAN,17
KRAVCHUKRUSSIA,227
KLIM_PETROV_,235
KOSTYA_ANCH,500
MAYERS_STEFANY,8
KIRILL_GROMOV1,4
KOMICSTROFA,515
LADY_DIANAAAAA,68
LEERATITOVA,513
MAINZBOTE,151
MANZOLEVSKY,14
MARISSPRT,3956
MIHANOVIKOV,1470
NCENTSSTAL,15
LENABBUBBLE,471
MAIN_IGOR,459
MUSAMUHMUH,196
KIRILLOVAFECNAN,225
LOOKATMEZERO,168
MAJORITY405,37
KITCATKATERINA,510
KRAVCHUKDMITRO,32
MALTE_ROSS,364
MARGARETMOAR,120
MICHELLEARRY,3514
MRMUSTACHEE,109
LORRY_COU,77
MARIECARLLLOS,8
LILJORDAMN,4320
MAGICMAGICWAND,46
MANDDSYSGOSS,4
MINIAKINANDREW,40
LOSSFULP,5
MARIAHROOOSE,51
KOSDEMO,18
NATALIAKUDROVA,502
LITTLEEBOLA,541
MHSERGEEV,569
KRISTIN_MARSH_,39
NEGROKEEDY,3
KATYKRIER,470
LUKE_RUBIA,60
MARRINABEREZKA,1007
MIHASTOPORENCO,61
LOLAPYKE,99
KIRAMIILEE,498
KRUTKOT,16
LORETTAPJ3,197
KIRBYTHEFAMOUS,83
KIRSTENLADANIEL,335
LENAAKHMETOVA,478
LIDMILAMA,521
LOU_GALLOWAY,84
MARKBERER,709
MAYS_ARIELLE,8
LAVROVKIR,559
MILANADUR,502
MUHMUHSAL1,15
MARGARITASHIRAZ,16
KSYSHEREMET,510
MECHTATELI_,1
KYLES0CCER,55
MIHAILKUZNETZO1,28
NANAJDAWSON,222
LENAKRASNAYA,1105
NATALIA_LEGALAD,524
LILAASTRS,3575
KENCANNONE,2559
LUCYTRUMPTTOP56,1517
LAVROVMUESLI,5488
LEONID_1102,87
MOSCOWECONOMY,178
MYQUICKSILVER,107
KAYDENMELTON,1485
KIRSTIEMNR,72
KRAPIVEC,27
MARINAREMAN,501
MRCLYDEPRATT,9726
LOVEPIZZZZZZZA,532
MAYMAYMYY,5235
KISSKISSDEB,83
LACHLAN_FARLEY,142
MARIABERSTEIN,74
MAXIM_ARHIP,30
LOBANOV_DMITRI,438
KELBATT,40
LENUKBERUK,507
MARISSAIMSTRONG,3314
MARTIN_S32,423
KYRILL_MOTO,271
LADYSASCHAK,228
LGBTRALLY,15
LYSIKVINKOVA,508
MAD_BENJAMI,32
MSBRENDAREEVES,46
LINDA_LOPAEVA,485
MADLEN_JEENES,32
MUSALLIMMAHMUD1,11
PAVEL_ILNSKY,12
PETRENKOM_,27
PIKINBOGDAN,41
NIGHTGETSLONGER,6
PASHABATYREV,893
PETERSCHULZ541,293
PELEVKINT,16
PHOENIXDAILYNEW,13796
NIKITA_ZAL,127
OREHOVANATALJA,38
NOAKSALVAN,54
NINI_711,177
NINI__2014,46
NOVOSTIKRSNDR,1511
NYUSIARUSSIA,421
NOVOSTIPUTIN,293
NOVOSTIRND,2118
ORRCLAY,917
PLSCALLMEABBY,18
NNTUMMIN,534
NEW_AGEOFMEE,122
NOVOSTIDC,115
OLESYAUDINA,445
NOVOSTIKIROV,1023
PASHABORODACH,478
PAMELAKEALER13,1407
NOTYOURLILLY,3
NOVOSTIARKH,373
OI_DICKO,7
ONLINEMEMPHIS,10309
NEWS24EN,35
NOTRITAHART,4502
NOT_MYHERITAGE,16
NOVOSTICHEB,198
NOVOSTINN,1727
OLEGMUSALFEEV,17
OOOPS_VATNIK,494
NOVOSTIASTRHN,381
PAMBLMDANIELS,5425
NYAN_MEOW_MEOW,3904
OHMYGODKOVAL,1229
PAVIGNATIEV,17
NIKITINHYDTIHIN,270
ODINECSASHA,21
OGDEANDRE,5171
PARKISALN,6
NIKOLAEVNI,2
PANINAVIKTORYA,477
NOVOSTI_RYAZAN,881
ODANNY_THEBOY,31
OH_MISSPIZZA,2830
OSTROVOFFICER,2146
POLICESTATEME,230
NOVOSTIIZHEVSK,838
NOVOSTINOVGOROD,19
PETROVA_TATATA,491
OSCAR_ROWE_,529
PEYTONM0DEL,17
PAMELA_MOORE13,6242
NEW_INF0RM,4102
NOVOSTIMINSKA,85
ONLINEGOMEL,28
NOVOSTISARATOV,832
NIKAAFANCHIK,512
NOMO_TUNES,5
NEWYAHSHUAH,3
NISANURCERAN20,52
PHILLIP_CHRIS10,20
PIECEOFLEMONPIE,474
PETERKISTNER,648
NIKOLAY_LEV,12
NOTHING8SPECIAL,23
PAIGE_JAM,204
NKIRA1,12
NOVOSTIHBRVSK,1186
NOVOSTIORNBRG,2108
PERSSONSANDY,12
NIKOLA_HOLAHOLA,28
NUCOLEWP2000,45
OLEGIDMITRENKO,511
OLIWAALERT,7
OMARHATTAB2281,18
NOVOSTITOMSK,1072
NOREEGOLDMAN,6
OWENYWADE,3
PHILLYOTERO,82
PEACELOVEJOGA,412
PENNYSIMM,47
PIMENOVMICHAEL,10
NIKKIRIUSHIN,14
NOVOSTITUMENI,5265
ONELOVEUNICORNS,23
NOVOSTISMR,1575
POLIGRAPHME,228
NIK_VASILIY,50
NONNN_STOP,41
NOVOSTIYARSL,215
OCIMNOCXI,103
NKEERPEN,10
NOVOSTISHOIGU,304
PHOTOMOSKOW2014,522
OETERPRI,6
NOVOSTINABCHEL,487
PERESPAL,46
PEYTONCASHOUT,4563
PHILADELPHIAON,13383
NOVOSTI_SOCHI,4668
NOVOSTIDYUMIN,21
OLEG_EVDOKIMOV_,61
NICCOLOBRILLA,145
NONNAISAEVA,520
ONLINECLEVELAND,17706
PETROVSERGG,21
PETAROBBIE,81
NOVOSTIMSK,3966
PETER_DOWNS_UP,74
NOVOSTIKLNGRD,1333
PLUSHEVYEA,503
PIPERTRTR,3
NIKITA_BAGLAEV,201
NOVOSTIVRNEZH,851
NOVOSTIEKB,1729
NOVOSTIKSTRM,771
ODESSANEWS24,102
PAVELVASILIE,47
NOVOSTIKADYROV,46
NOVOSTIVOLODIN,150
PATRIOTKA_RUSI,1036
PHILIP_PRICHTE,9
NOVOSTINSK,1433
PARISGAAAAAY,70
PAUCHENS,540
OLENENOCK,463
PELMENMSK,31
NOTMYHERITAGE,9
NOVOSTIKZN,2980
PATRICK_CLAYN,27
NOVOSTICRIMEA,2217
PEEONHILLARY,13
PETRSABLIN,383
PABLOOPATTON,67
PHILGRECH,39
NORBERDTWEGER,241
NOVOSTICHEL,1066
NOVOSTINVKZNCK,259
OOOONLYONE,1407
OLGAMOROZOVAMSK,510
ONEMIGHTYFISH,3725
OSTERR666,546
PITTSESTE,14
NOVOSTIYA,448
NEWORLEANSON,14897
NEWSPYONGYANG,372
OLIVIADWARREN,514
NIKOLAKALINOV,3
OAKLANDONLINE,8435
PATI_COOPER,1080
POLITERUSSIA,191
NIKAFAST,18
NINOKSTRANGE,541
NOVOSTIPERMI,1220
PAULINETT,3809
PHOTOPHOMIN,18
PIGEONTODAY,9110
ORVILLEMOMMY,53
NIKSCHEHOV,225
NOVOSTIDAMASK,9671
PETERMAGLOB,181
PETROVAKATTYA,487
NIKOLAIZAGAID,509
PIRELLIGINA,11
OLIVIA1GB,123
NJ_BLACKNEWS,884
NICKZLOBIN,47
PLAT0V,3
PARTYFORPATTY,8
PAMPAMONEIL,54
PIROVA_ZHENYA,521
NIKOLAYVAKHRUSH,39
NOLNAOOU,476
POLIPROPILENOVA,441
PAULINANEUSTART,175
PAOLAKINCK,6696
NOVOSTIOMSKA,1378
NOVOSTIKRSNRSK,1133
OLD_NEW_POLICY,15418
ORIGINOFKATY,75
NOVOSTISPB,4904
N_SILIN1,58
NOORAD_DIN,161
NOVOSTIUL,1127
NOVOSTISTAVROP,851
OPHEROINA,267
NIK__ANGELA,1300
NOTBALLINYET,1045
PANINOFFICIALTW,4
NOVOSTIPENZA,1169
NEWYORKDEM,221
NIKANNIKA,28
NOVOSTIKEMEROVO,1199
NOVOSTIUF,945
ODINOSTANUS,6
NEWARKVOICE,9724
NOVOSTILIPECK,539
OILUGII69I,486
NOVOSTILAVROV,1020
NOVOSTISKTVKR,36
PATRIOTOTUS,1827
NINONDERRIEN,21
NOVOSTITOLIATTI,1116
OHOHAHAS,11
PETRGORELOV,564
NOVOSTIVLDVSTK,1008
NEZNKATE,545
NOVOSTIIRKUTSK,1002
NOJONATHONNO,3614
OLYABOLSH,454
PITERKARASEV,34
OLGA_BEKHER,37
NOVOSTIVOLGA,678
PATRIOTBLAKE,7252
OPERATOR_SO,39
PAMELA_SHARKY13,459
NEWSPEAKDAILY,10666
OLLLLL_LLLLIE,51
NORMAN_HOOPER,129
OH_FRIDA,1203
PATRIOT_ARCHIVE,3
PETROVANAIMELCE,233
OMAR_MANSURI_1,88
PHILLIPCARRR,33
NOVOSTIBARNAUL,1654
OLYALEGEND,499
PEYRIDLEY,49
PATRIOTRAPHAEL,1005
NOVOSTIMHCHKL,754
PARHOMENKOYURY,27
PERCY_RIDDLE,208
POLITEXPERTNET,6421
OHREALLYASHLEY,11
PAMELLAMAYBANK,62
PATRICIADRYS,110
ZION_FRAZIER,64
ZINOVCHI,48
_ANNA_SANNA_,506
YURA_ANICIMOV,46
ZUBOVNIK,5014
_KING_JESTER_,19
_BEGLOV,1633
ZAOZERSKYVLAD,423
YOUKNEWMYNAME,500
ZAKIALQADIR,6
_SHERYLGILBERT,69
YOURLOVELYCAROL,15
ZILILINYM,16
YURYKUZNETSOV65,57
ZVYAGINZEVA,510
_SASHALAPIN,1570
ZLOBUCHKA,559
_SNOWCAKES_,512
_LINAALINA_,529
ZAYTCEVY,17
_SOLOMONALBERT_,36
ZAZHILMIKHAIL,31
ZWEIG_MARIA,212
ZAKIROVCEHUSESE,385
ZOLLIELEMON,97
ZEBROID_23,668
ZOTOVA_UNO,60
_RONBEN,70
ZISTTI,1685
ZLOYKURS,189
ZIMNIKOVAVENERA,42
ZINCLINEDCOFFIN,3
ZZZACHARYZZZ,5515
_GRANDMARCO,14
_INNNNNA_,467
_SINIY_TUMAN_,515
ZENDMITROV,37
_LUKAS_BRIGGS_,42
ZAPLATOVAALENA,11
_GREGORVAN,41
_MOMMYMILA_,498
YOUKNOWJILLIAN,5
ZDRASTENASTIA,897
ZVEZDNII_VOIN,83
ZELDINNUMBER1,15
ZINA_ROMOVA,539
_SUNNY_SONNY_,788
ZHIVNOV,471
_OLEG_EREMEEV,35
ZSHAANNA,433
ZACHISTIEVIBORI,265
ZNATNIYBUKHARIK,538
ZABELINN,471
_YOUR_LIFESTYLE,680
_NICKLUNA_,4251
ZZARACROSS,151
_BILLY_MOYER_,914
_RUBY_WILLS_,340
ZHI_YUE_,45
_MARK__B,58
_NICKULYA,505
